BaseP,EXP.cost,x,y,row,col,field,EXP.rate.ssopt,NR.ssopt,NR.min,NR.opp,NR.fs,yld.opt,yld.min,yld.fs,pro.opt,pro.min,pro.fs,NR.ffopt,yld.ffopt,pro.ffopt,EXP.rate.ffopt,NUE,cost.NUE,NR.act,yld.act,pro.act,sim
7.24,0.4,639175.9,5100660,10,19,sec35middle,43,188.406899540018,167.527100283478,84.291176,162.478348408939,53.08064,48.73925,54.48384,13.06251,11.316001,16.01333,184.330557775507,54.15582,14.52142,73,0.255005,4.386086,163.454887407485,54.608657231025,16.0086385177592,2021EconCondition
7.24,0.4,639185.9,5100660,10,20,sec35middle,73,193.412206962931,156.055214943191,76.07020736,179.63221506066,55.36309,47.23688,56.72891,14.36305,11.192589,15.83869,193.412206962931,55.36309,14.36305,73,0.214718,6.2697656,186.402375758677,57.7135356540521,15.8601973229672,2021EconCondition
7.24,0.4,639195.9,5100660,10,21,sec35middle,42,168.791622565313,148.047704381435,70.21571456,153.339990101643,50.41533,46.16698,53.03381,12.80116,11.131865,15.75276,169.457282724785,52.07553,14.28513,73,0.2537477,4.26296136,151.491335742712,52.7532813318437,15.7412121533282,2021EconCondition
7.24,0.4,639205.9,5100660,10,22,sec35middle,42,164.20548855947,143.1062838213,67.4981552,142.332327419521,49.88469,45.67035,51.31899,12.52967,10.895774,15.41867,157.334042650107,50.38771,13.98216,73,0.2537673,4.26329064,147.751657931353,52.1026123032188,15.4369450945796,2021EconCondition
7.24,0.4,639215.9,5100660,10,23,sec35middle,43,161.395659745675,139.261237351626,64.91931104,150.330503987064,49.57167,45.19907,52.36249,12.48606,10.816626,15.30666,160.813002844948,50.85889,13.88059,73,0.2572626,4.42491672,147.552274233922,51.9970405352604,15.3148567808673,2021EconCondition
7.24,0.4,639225.9,5100660,10,24,sec35middle,121,170.784848477279,138.101372684279,64.3845872,159.086653816963,55.19563,45.10135,53.51557,15.2383,10.742742,15.20211,164.871167014094,51.41236,13.78578,73,0.1856992,8.98784128,156.244601729523,53.1320773876146,15.205576216686,2021EconCondition
7.24,0.4,639235.9,5100660,10,25,sec35middle,121,170.542457811256,133.175943307554,60.94855424,158.209008160664,55.11268,44.47342,53.34832,15.13484,10.6698,15.09889,165.249480950133,51.46616,13.69218,73,0.1859203,8.99854252,158.73418889547,53.4392935388958,15.1083769193424,2021EconCondition
7.24,0.4,639245.9,5100660,10,26,sec35middle,121,174.595503907437,133.721590512374,61.88300768,164.028093267139,55.60576,44.64419,54.08733,14.99062,10.56813,14.95502,168.354284244431,51.89794,13.56171,73,0.1892792,9.16111328,162.930577749571,53.9560924049375,14.9648550545843,2021EconCondition
7.24,0.4,639255.9,5100660,10,27,sec35middle,121,171.204461845569,131.59229248299,60.63002912,160.11704975576,55.09851,44.41521,53.5115,14.8831,10.492327,14.84775,165.553943425925,51.52479,13.46443,73,0.1892792,9.16111328,159.40299967366,53.4065750758125,14.8440943963278,2021EconCondition
7.24,0.4,639265.9,5100660,10,28,sec35middle,121,172.531780233037,129.152405168207,59.12150816,160.467648446147,55.24401,44.13953,53.52556,14.78082,10.420222,14.74571,167.129006565308,51.75174,13.3719,73,0.1892777,9.16104068,158.620445929092,53.2565764801875,14.7373512245293,2021EconCondition
